predicted_role,source,lag_bin_frames,attention_sum,n_observations,mean_attention
expert,partner,0-0,43.074734969530255,261,0.16503729873383238
expert,partner,1-25,39.04989585361909,10788,0.0036197530453855294
expert,partner,26-75,39.09329073410481,15138,0.002582460743434061
expert,partner,76-250,0.0,6438,0.0
expert,self,0-0,47.34037785977125,261,0.18138075808341475
expert,self,1-25,46.602588719455525,10788,0.004319854349226504
expert,self,26-75,45.83911259891465,15138,0.00302808248110151
expert,self,76-250,0.0,6438,0.0
novice,partner,0-0,38.67647134885192,261,0.14818571398027555
novice,partner,1-25,37.498284401604906,10788,0.0034759255099745
novice,partner,26-75,37.48463818710297,15138,0.002476194886187275
novice,partner,76-250,0.0,6438,0.0
novice,self,0-0,51.682187541155145,261,0.19801604421898522
novice,self,1-25,47.378457430546405,10788,0.004391773955371376
novice,self,26-75,48.27995977201499,15138,0.003189322220373563
novice,self,76-250,0.0,6438,0.0
