predicted_role,source,source_session_phase_decile,attention_sum,n_observations,mean_attention
expert,partner,0,548.3909597818148,599160,0.0009152663057978083
expert,partner,1,564.3366120957071,651500,0.0008662112234776779
expert,partner,2,571.0044515474383,651600,0.0008763113129948408
expert,partner,3,571.6729375621842,651520,0.0008774449557376353
expert,partner,4,570.9938045792805,651600,0.0008762949732647031
expert,partner,5,570.5335358809515,651500,0.0008757230021196493
expert,partner,6,569.9372561534692,651660,0.0008745929720306129
expert,partner,7,572.7013776397779,651460,0.0008791044387065635
expert,partner,8,568.2328512316162,651640,0.000872004252703358
expert,partner,9,509.39083657132045,613360,0.0008304924295215215
expert,self,0,704.6758801621163,599160,0.0011761063491590165
expert,self,1,735.815011712315,651500,0.001129416748599102
expert,self,2,733.4406600479124,651600,0.001125599539668374
expert,self,3,729.5834163014588,651520,0.0011198173752171212
expert,self,4,735.0302631320665,651600,0.0011280390778576834
expert,self,5,730.5523478834657,651500,0.0011213389837044755
expert,self,6,734.9759015067602,651660,0.001127851796192432
expert,self,7,728.6890892940827,651460,0.0011185477071410106
expert,self,8,737.7259567299043,651640,0.0011321066182706774
expert,self,9,662.3168492340483,613360,0.001079817479512926
novice,partner,0,535.4363577582062,599160,0.0008936450326427101
novice,partner,1,545.2221754564105,651500,0.0008368721035401542
novice,partner,2,566.8349960317114,651600,0.0008699125169301893
novice,partner,3,571.8095887105178,651520,0.0008776546977997879
novice,partner,4,573.4801355794043,651600,0.000880110705309092
novice,partner,5,569.7718831218008,651500,0.0008745539265108224
novice,partner,6,571.8175900703746,651660,0.0008774784244396996
novice,partner,7,571.3254758858736,651460,0.0008769924107172714
novice,partner,8,568.2189826121903,651640,0.0008719829700635171
novice,partner,9,509.46687812702294,613360,0.0008306164049286275
novice,self,0,717.5641411508078,599160,0.0011976168989098201
novice,self,1,754.9043811369629,651500,0.001158717392382138
novice,self,2,737.9573023205157,651600,0.0011325311576435172
novice,self,3,729.3489371176996,651520,0.001119457479613365
novice,self,4,732.7518926727353,651600,0.001124542499497752
novice,self,5,731.6961205103325,651500,0.0011230945825177782
novice,self,6,732.3723478206084,651660,0.0011238565322723635
novice,self,7,730.3423905036266,651460,0.0011210855470844359
novice,self,8,737.3662835716386,651640,0.0011315546675643585
novice,self,9,662.3121378120863,613360,0.0010798097981806548
