role,session_phase_decile,n_frames,mean_gate,std_gate
expert,0,119832,0.4627297238843867,0.08798146977701898
expert,1,130300,0.44709441960622903,0.08933714444375031
expert,2,130320,0.4623774654178796,0.09157074747997997
expert,3,130304,0.4730312086596389,0.09475572053027406
expert,4,130320,0.47315936478085246,0.09622005659366568
expert,5,130300,0.46140081836123675,0.09878883620644238
expert,6,130332,0.46625885660821703,0.09959722625340248
expert,7,130292,0.46244172378142195,0.10294525554693969
expert,8,130328,0.46072979963222327,0.10011488463750512
expert,9,122672,0.4573146902981699,0.0974148330701702
novice,0,119832,0.7147468439571718,0.08224298162805442
novice,1,130300,0.7214456803343063,0.08120464158954312
novice,2,130320,0.7090592113284061,0.08372188219574604
novice,3,130304,0.7035083743677386,0.09241907159515139
novice,4,130320,0.7073936171191667,0.08951449799760464
novice,5,130300,0.7148345099584538,0.08975454406814698
novice,6,130332,0.7073877685942092,0.09442213728874839
novice,7,130292,0.7090160139720786,0.0950829569270118
novice,8,130328,0.7148809451270273,0.08774580955797198
novice,9,122672,0.7140977401929556,0.08670303704240914
