dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,020,33130,-0.031184095720780607,0.8319772898110314,0.9832278113557953,-0.2268072750938924
noxi,028,58398,-0.06696378083353173,0.7845701575030449,0.967308121727683,-0.2875163317584791
noxi,029,41132,-0.028052603323405565,0.8840045605270443,1.0940024908005266,-0.15051179571581053
noxi,039,26818,-0.08029816903660901,0.8138301634079766,0.9795569357722806,-0.4706712272941226
noxi,046,53092,-0.03231346545135254,0.8089306475881095,0.9328232160842184,-0.19813448815515747
noxi,055,44930,-0.029055440430073846,0.7479906386632789,0.8852856716396735,-0.1841449424382612
noxi,068,50530,-0.04967857990297926,0.9297557251690837,1.0725314942291637,-0.40230963089797
noxi,069,95726,-0.06010093309886681,0.9427532778345824,1.1184107233707847,-0.4783351422195984
noxij,105,41250,-0.023763803414873528,0.8054365811820283,0.9425296185957677,-0.17508220490083784
noxij,110,44300,-0.025980021877971573,0.8838157431780451,1.0447721570416713,-0.24064093926755672
noxij,117,31250,-0.02509584447782713,0.9666247561542392,1.1510887973445405,-0.21828255342947736
noxij,134,49950,-0.016190995696039337,1.1915706670327155,1.377952763363579,-0.28133266873837653
noxij,136,43200,-0.002459856638351285,1.118919470414252,1.2858083549941313,-0.04386220184405725
noxij,139,37850,-0.005345141182466108,0.935143619817454,1.071097214361464,-0.03521348685297011
