domain,session_id,role,head,n_frames,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CC,005,purple,social,7937,7936,4,181,0.0005040322580645161,0.022807459677419355,45.25,177
CC,005,purple,task,1986,1985,3,6,0.0015113350125944584,0.003022670025188917,2.0,3
CC,005,yellow,social,3275,3274,2,72,0.0006108735491753207,0.021991447770311544,36.0,70
CC,005,yellow,task,1969,1968,1,25,0.0005081300813008131,0.012703252032520325,25.0,24
CC,010,purple,social,9474,9473,10,44,0.0010556317956296843,0.004644779900770611,4.4,34
CC,010,purple,task,18064,18063,20,443,0.001107235785860599,0.02452527265681227,22.15,423
CC,010,yellow,social,9358,9357,12,134,0.0012824623276691247,0.01432082932563856,11.166666666666666,122
CC,010,yellow,task,9970,9969,7,266,0.0007021767479185475,0.026682716420904806,38.0,259
CC,017,purple,social,8887,8886,2,15,0.00022507314877335134,0.001688048615800135,7.5,13
CC,017,purple,task,5284,5283,4,72,0.0007571455612341472,0.013628620102214651,18.0,68
CC,017,yellow,social,10931,10930,2,49,0.00018298261665141812,0.004483074107959744,24.5,47
CC,017,yellow,task,11487,11486,5,76,0.0004353125544140693,0.006616750827093854,15.2,71
CC,036,purple,social,4925,4924,7,159,0.001421608448415922,0.032290820471161656,22.714285714285715,152
CC,036,purple,task,15177,15176,1,257,6.589351607801793e-05,0.016934633632050607,257.0,256
CC,036,yellow,social,4772,4771,8,121,0.0016767973171242926,0.025361559421504927,15.125,113
CC,036,yellow,task,10677,10676,1,25,9.366804046459348e-05,0.002341701011614837,25.0,24
CC,038,purple,social,16114,16113,5,439,0.00031030844659591636,0.027245081611121456,87.8,434
CC,038,purple,task,23624,23623,20,543,0.0008466325191550608,0.0229860728950599,27.15,523
CC,038,yellow,social,19959,19958,4,631,0.0002004208838560978,0.03161639442829943,157.75,627
CC,038,yellow,task,26059,26058,18,542,0.000690766751093714,0.020799754394044054,30.11111111111111,524
CC,046,purple,social,10170,10169,5,115,0.000491690431704199,0.011308879929196578,23.0,110
CC,046,purple,task,10555,10554,18,146,0.0017055144968732233,0.01383361758574948,8.11111111111111,128
CC,046,yellow,social,11838,11837,9,185,0.0007603277857565261,0.015628960040550817,20.555555555555557,176
CC,046,yellow,task,10377,10376,10,100,0.0009637625289128759,0.00963762528912876,10.0,90
CC,065,purple,social,33297,33296,9,766,0.0002703027390677559,0.023005766458433444,85.11111111111111,757
CC,065,purple,task,29627,29626,16,400,0.0005400661581043678,0.013501653952609195,25.0,384
CC,065,yellow,social,33679,33678,9,669,0.0002672367717797969,0.01986460003563157,74.33333333333333,660
CC,065,yellow,task,40836,40835,24,614,0.0005877311130157953,0.015036120974654095,25.583333333333332,590
