mode,param,cc_mean_kappa,cr_mean_kappa,combined_mean_kappa,cc_pred_flips,cr_pred_flips,total_pred_flips,total_true_flips
hysteresis,1.0,0.3452650273522522,0.37633991228234104,0.3608024698172966,924,139,1063,267
prob_mean,121,0.34207644758824973,0.37539190939945294,0.35873417849385136,1049,149,1198,267
logit_mean,121,0.3413108076564393,0.37571910632367433,0.3585149569900568,1061,150,1211,267
label_majority,121,0.3367920257665654,0.37272651307177684,0.35475926941917113,1086,149,1235,267
logit_mean,61,0.3299547397035739,0.36636706323198265,0.3481609014677783,1754,239,1993,267
prob_mean,61,0.3293920159735999,0.3653188330750318,0.3473554245243159,1723,236,1959,267
label_majority,61,0.32682243732661964,0.36380687131629896,0.3453146543214593,1739,242,1981,267
logit_mean,31,0.3259455477023311,0.3608388234179375,0.3433921855601343,2723,373,3096,267
hysteresis,0.5,0.3285546392029077,0.3575626852142342,0.34305866220857095,2035,313,2348,267
prob_mean,31,0.32571805552581157,0.3602069301753608,0.3429624928505862,2698,371,3069,267
label_majority,31,0.32361672672812203,0.3576527246494755,0.34063472568879877,2722,389,3111,267
hysteresis,0.25,0.3236645357325756,0.3570588145152189,0.34036167512389726,3172,453,3625,267
logit_ema,0.15,0.3240187214516144,0.35552172333732157,0.33977022239446797,3850,529,4379,267
logit_mean,15,0.3235520384683347,0.35492102913199697,0.33923653380016583,3844,530,4374,267
prob_mean,15,0.32358683108931796,0.3547700339193432,0.33917843250433055,3821,525,4346,267
label_majority,15,0.3228011445188759,0.3546265574638736,0.33871385099137474,3773,517,4290,267
logit_ema,0.25,0.32343680905925387,0.3537915489354657,0.3386141789973598,4569,603,5172,267
prob_mean,9,0.3232230238447287,0.3531393284445829,0.3381811761446558,4485,605,5090,267
logit_mean,9,0.3231420948469701,0.35309821826746457,0.33812015655721733,4508,609,5117,267
label_majority,9,0.32288014369071893,0.3526283936312551,0.337754268660987,4457,590,5047,267
logit_ema,0.4,0.32294393817545736,0.35249373186104027,0.33771883501824884,5251,657,5908,267
prob_mean,5,0.32282751512796365,0.35235568105419157,0.33759159809107764,5128,655,5783,267
logit_mean,5,0.32273481968383166,0.35241059765310284,0.3375727086684672,5140,658,5798,267
label_majority,5,0.3225945639408243,0.35232633511055556,0.33746044952568993,5101,659,5760,267
logit_ema,0.6,0.32250680969970563,0.352348215400065,0.33742751254988534,5909,722,6631,267
logit_mean,3,0.3225802271416031,0.35223159526429193,0.3374059112029475,5716,714,6430,267
prob_mean,3,0.32258573322902506,0.35216282178179037,0.3373742775054077,5701,712,6413,267
label_majority,3,0.32245450626978944,0.3521802151697672,0.33731736071977836,5736,708,6444,267
baseline,none,0.3223310305886096,0.35198521500583824,0.3371581227972239,7095,835,7930,267
