run,head,modality_tag,modalities,raw_kappa,output_dir
pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13,task,atv,audio_w2vbert2+text_xlm_roberta+visual_videomae,0.376920182,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13/atv
pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13,task,at,audio_w2vbert2+text_xlm_roberta,0.140606645,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13/at
pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13,task,av,audio_w2vbert2+visual_videomae,0.373855449,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13/av
pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13,task,tv,text_xlm_roberta+visual_videomae,0.382419236,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13/tv
pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13,task,a,audio_w2vbert2,0.089435390,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13/a
pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13,task,t,text_xlm_roberta,0.160350655,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13/t
pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13,task,v,visual_videomae,0.380483916,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_task_shared_linear_shared_tcn_delta010_metadata_seed13/v
pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13,social,atv,audio_w2vbert2+text_xlm_roberta+visual_videomae,0.346728700,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13/atv
pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13,social,at,audio_w2vbert2+text_xlm_roberta,0.195055544,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13/at
pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13,social,av,audio_w2vbert2+visual_videomae,0.351916153,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13/av
pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13,social,tv,text_xlm_roberta+visual_videomae,0.314679182,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13/tv
pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13,social,a,audio_w2vbert2,0.164105493,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13/a
pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13,social,t,text_xlm_roberta,0.100058849,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13/t
pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13,social,v,visual_videomae,0.290584094,/workspace/ACM/ACM-clean/MoE/experiments/pinsoro_cc_submitted_checkpoint_modality_masks_3006/pinsoro_cc_headarch_head_adapters_delta010_metadata_seed13/v
